run_uuid,key,step,value,timestamp
a27a9395759041689d2a58d7b8ce9c90,train/train_wall,1732,0.0,1771027218491
a27a9395759041689d2a58d7b8ce9c90,train/train_wall,1733,0.0,1771027224841
a27a9395759041689d2a58d7b8ce9c90,train/train_wall,1734,0.0,1771027232958
a27a9395759041689d2a58d7b8ce9c90,train/train_wall,1735,0.0,1771027239829
a27a9395759041689d2a58d7b8ce9c90,train/train_wall,1736,0.0,1771027245867
a27a9395759041689d2a58d7b8ce9c90,train/train_wall,1737,0.0,1771027251824
a27a9395759041689d2a58d7b8ce9c90,train/train_wall,1738,0.0,1771027257832
a27a9395759041689d2a58d7b8ce9c90,train/train_wall,1739,0.0,1771027264285
a27a9395759041689d2a58d7b8ce9c90,train/train_wall,1740,0.0,1771027270208
a27a9395759041689d2a58d7b8ce9c90,train/train_wall,1741,0.0,1771027276492
a27a9395759041689d2a58d7b8ce9c90,train/train_wall,1742,0.0,1771027282680
a27a9395759041689d2a58d7b8ce9c90,train/train_wall,1743,0.0,1771027288773
a27a9395759041689d2a58d7b8ce9c90,train/train_wall,1744,0.0,1771027294805
a27a9395759041689d2a58d7b8ce9c90,train/train_wall,1745,0.0,1771027300988
a27a9395759041689d2a58d7b8ce9c90,train/train_wall,1746,0.0,1771027307215
a27a9395759041689d2a58d7b8ce9c90,train/train_wall,1747,0.0,1771027313374
a27a9395759041689d2a58d7b8ce9c90,train/train_wall,1748,0.0,1771027319330
a27a9395759041689d2a58d7b8ce9c90,train/train_wall,1749,0.0,1771027325444
a27a9395759041689d2a58d7b8ce9c90,train/train_wall,1750,0.0,1771027331543
a27a9395759041689d2a58d7b8ce9c90,train/train_wall,1751,0.0,1771027337556
a27a9395759041689d2a58d7b8ce9c90,train/train_wall,1752,0.0,1771027343586
a27a9395759041689d2a58d7b8ce9c90,train/train_wall,1753,0.0,1771027349293
a27a9395759041689d2a58d7b8ce9c90,train/train_wall,1754,0.0,1771027355387
a27a9395759041689d2a58d7b8ce9c90,train/ups,1726,0.0,1771027182409
a27a9395759041689d2a58d7b8ce9c90,train/ups,1727,0.17,1771027188415
a27a9395759041689d2a58d7b8ce9c90,train/ups,1728,0.17,1771027194390
a27a9395759041689d2a58d7b8ce9c90,train/ups,1729,0.17,1771027200226
a27a9395759041689d2a58d7b8ce9c90,train/ups,1730,0.17,1771027206214
a27a9395759041689d2a58d7b8ce9c90,train/ups,1731,0.17,1771027212276
a27a9395759041689d2a58d7b8ce9c90,train/ups,1732,0.16,1771027218491
a27a9395759041689d2a58d7b8ce9c90,train/ups,1733,0.16,1771027224841
a27a9395759041689d2a58d7b8ce9c90,train/ups,1734,0.12,1771027232958
a27a9395759041689d2a58d7b8ce9c90,train/ups,1735,0.15,1771027239829
a27a9395759041689d2a58d7b8ce9c90,train/ups,1736,0.17,1771027245867
a27a9395759041689d2a58d7b8ce9c90,train/ups,1737,0.17,1771027251824
a27a9395759041689d2a58d7b8ce9c90,train/ups,1738,0.17,1771027257832
a27a9395759041689d2a58d7b8ce9c90,train/ups,1739,0.16,1771027264285
a27a9395759041689d2a58d7b8ce9c90,train/ups,1740,0.17,1771027270208
a27a9395759041689d2a58d7b8ce9c90,train/ups,1741,0.16,1771027276492
a27a9395759041689d2a58d7b8ce9c90,train/ups,1742,0.16,1771027282680
a27a9395759041689d2a58d7b8ce9c90,train/ups,1743,0.16,1771027288773
a27a9395759041689d2a58d7b8ce9c90,train/ups,1744,0.17,1771027294805
a27a9395759041689d2a58d7b8ce9c90,train/ups,1745,0.16,1771027300988
a27a9395759041689d2a58d7b8ce9c90,train/ups,1746,0.16,1771027307215
a27a9395759041689d2a58d7b8ce9c90,train/ups,1747,0.16,1771027313374
a27a9395759041689d2a58d7b8ce9c90,train/ups,1748,0.17,1771027319330
a27a9395759041689d2a58d7b8ce9c90,train/ups,1749,0.16,1771027325444
a27a9395759041689d2a58d7b8ce9c90,train/ups,1750,0.16,1771027331543
a27a9395759041689d2a58d7b8ce9c90,train/ups,1751,0.17,1771027337556
a27a9395759041689d2a58d7b8ce9c90,train/ups,1752,0.17,1771027343586
a27a9395759041689d2a58d7b8ce9c90,train/ups,1753,0.18,1771027349293
a27a9395759041689d2a58d7b8ce9c90,train/ups,1754,0.16,1771027355387
a27a9395759041689d2a58d7b8ce9c90,train/wall,1726,13.0,1771027182409
a27a9395759041689d2a58d7b8ce9c90,train/wall,1727,19.0,1771027188415
a27a9395759041689d2a58d7b8ce9c90,train/wall,1728,25.0,1771027194390
a27a9395759041689d2a58d7b8ce9c90,train/wall,1729,31.0,1771027200226
a27a9395759041689d2a58d7b8ce9c90,train/wall,1730,37.0,1771027206214
a27a9395759041689d2a58d7b8ce9c90,train/wall,1731,43.0,1771027212276
a27a9395759041689d2a58d7b8ce9c90,train/wall,1732,49.0,1771027218491
a27a9395759041689d2a58d7b8ce9c90,train/wall,1733,56.0,1771027224841
a27a9395759041689d2a58d7b8ce9c90,train/wall,1734,64.0,1771027232958
a27a9395759041689d2a58d7b8ce9c90,train/wall,1735,71.0,1771027239829
a27a9395759041689d2a58d7b8ce9c90,train/wall,1736,77.0,1771027245867
a27a9395759041689d2a58d7b8ce9c90,train/wall,1737,83.0,1771027251824
a27a9395759041689d2a58d7b8ce9c90,train/wall,1738,89.0,1771027257832
